Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.197
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,3.2801143733854031E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.296788E-01,0.166283E-01
0.122070E-02,0.593577E-01,0.287672
0.183105E-02,0.890365E-01,0.544453
0.244141E-02,0.118715,0.308801
0.305176E-02,0.148394,0.353702
0.366211E-02,0.178073,-0.124171
0.427246E-02,0.207752,0.128451
0.488281E-02,0.237431,-0.130257E-01
0.549316E-02,0.267109,1.00268
0.610352E-02,0.296788,0.286003
0.671387E-02,0.326467,0.180803
0.732422E-02,0.356146,0.743789E-01
0.793457E-02,0.385825,0.150725
0.854492E-02,0.415504,0.598735E-01
0.915527E-02,0.445182,1.07117
0.976562E-02,0.474861,0.357520E-01
0.103760E-01,0.504540,0.139119E-01
0.109863E-01,0.534219,0.290635
0.115967E-01,0.563898,0.360853
0.122070E-01,0.593577,0.196324
0.128174E-01,0.623255,0.235076E-01
0.134277E-01,0.652934,0.909313E-01
0.140381E-01,0.682613,0.215485
0.146484E-01,0.712292,-0.124996
0.152588E-01,0.741971,0.203949
0.158691E-01,0.771650,0.921145
0.164795E-01,0.801328,-0.102129E-01
0.170898E-01,0.831007,0.572248E-01
0.177002E-01,0.860686,-0.293777E-01
0.183105E-01,0.890365,0.119729
0.189209E-01,0.920044,0.260863
0.195312E-01,0.949723,-0.214471E-02
0.201416E-01,0.979401,0.214037E-01
0.207520E-01,1.00908,0.153987
0.213623E-01,1.03876,0.330589
0.219727E-01,1.06844,0.128453
0.225830E-01,1.09812,-0.672317E-01
0.231934E-01,1.12780,0.146875E-01
0.238037E-01,1.15747,0.902563E-01
0.244141E-01,1.18715,0.252941
0.250244E-01,1.21683,0.311798E-02
0.256348E-01,1.24651,0.279532E-01
0.262451E-01,1.27619,0.209840E-01
0.268555E-01,1.30587,0.517343E-01
0.274658E-01,1.33555,0.560306E-01
0.280762E-01,1.36523,0.607723E-01
0.286865E-01,1.39491,0.626549E-01
0.292969E-01,1.42458,0.218572
0.299072E-01,1.45426,-0.196984
0.305176E-01,1.48394,-0.500237E-01
0.311279E-01,1.51362,-0.567940E-01
0.317383E-01,1.54330,-0.105959
0.323486E-01,1.57298,0.753501E-01
0.329590E-01,1.60266,-0.433696E-01
0.335693E-01,1.63234,0.447011E-01
0.341797E-01,1.66201,-0.506787E-01
0.347900E-01,1.69169,-0.122906E-01
0.354004E-01,1.72137,0.183180
0.360107E-01,1.75105,-0.211987E-01
0.366211E-01,1.78073,-0.318410E-01
0.372314E-01,1.81041,-0.186458E-01
0.378418E-01,1.84009,-0.720737E-02
0.384521E-01,1.86977,0.359225E-02
0.390625E-01,1.89945,0.194246
0.396729E-01,1.92912,0.240438E-01
0.402832E-01,1.95880,-0.162748E-01
0.408936E-01,1.98848,-0.124180E-02
0.415039E-01,2.01816,0.100955E-01
0.421143E-01,2.04784,0.410402E-01
0.427246E-01,2.07752,-0.158764
0.433350E-01,2.10720,-0.300681E-01
0.439453E-01,2.13688,-0.512225E-01
0.445557E-01,2.16655,-0.569760E-01
0.451660E-01,2.19623,0.997010E-01
0.457764E-01,2.22591,0.161967E-01
0.463867E-01,2.25559,-0.424057E-02
0.469971E-01,2.28527,0.215170E-01
0.476074E-01,2.31495,0.496914E-01
0.482178E-01,2.34463,0.795262E-02
0.488281E-01,2.37431,0.119785
0.494385E-01,2.40399,-0.231269E-01
0.500488E-01,2.43366,0.200250E-01
0.506592E-01,2.46334,0.714012E-01
0.512695E-01,2.49302,-0.106936
0.518799E-01,2.52270,-0.436308E-01
0.524902E-01,2.55238,-0.305304E-01
0.531006E-01,2.58206,-0.252380E-01
0.537109E-01,2.61174,0.246811E-01
0.543213E-01,2.64142,0.562807E-01
0.549316E-01,2.67109,0.332327
0.555420E-01,2.70077,-0.399762E-02
0.561523E-01,2.73045,-0.695785E-01
