first_statistics:_on_raw_data
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
LostCreek_ts_data_2020_07_08_0700.dat,2020-07-08,07:30,190.3124,17988,-0.294721,0.126498,0.110479E-02,290.481,21.9058,636.046,0.112294,-9999,-9999,-9999,289.018,-9999,203.928,0.250512E-01,0.561430E-01,0.668994E-03,0.769772E-01,4.12642,4411.02,0.845431E-04,-9999,-9999,-9999,0.321145E-01,-9999,-0.937992E-02,0.763618E-03,-0.261119E-01,0.697804E-01,1.85900,0.603187E-03,-9999,-0.322155E-03,0.491320E-02,-0.154632E-01,-3.89854,-0.497930E-03,-9999,-0.665825E-03,0.955107E-02,0.328069E-01,0.487584E-04,-9999,-9999,-9999,-0.112555E-02,-9999,0.158276,0.236945,0.258649E-01,0.277448,2.03136,66.4155,0.919473E-02,-9999,-9999,-9999,0.179205,-9999,-0.325702,-0.448159,-0.467143E-01,0.515040,-0.528045,-0.350767,0.483897,-9999,-9999,-9999,-0.156370E-01,-9999,2.37042,2.84356,7.35236,2.57282,2.45120,2.09049,2.67918,-9999,-9999,-9999,1.52461,-9999
LostCreek_ts_data_2020_07_08_0730.dat,2020-07-08,08:00,190.3332,18000,-0.125517,0.286011,0.825204E-02,290.106,22.6612,671.180,0.108472,-9999,-9999,-9999,288.678,-9999,240.315,0.146230E-01,0.809797E-01,0.449186E-03,0.383957E-01,0.696543,1960.72,0.780530E-04,-9999,-9999,-9999,0.101891E-01,-9999,0.123249E-01,0.606027E-03,0.292605E-02,-0.359233E-01,-2.32435,0.800702E-04,-9999,-0.766890E-03,-0.246707E-01,0.197327E-01,-1.28147,0.111719E-02,-9999,0.117075E-02,-0.326976E-02,-0.262175,-0.954149E-05,-9999,-9999,-9999,0.672426E-03,-9999,0.120926,0.284569,0.211940E-01,0.195948,0.834591,44.2800,0.883476E-02,-9999,-9999,-9999,0.100941,-9999,0.401528,-0.263034,-0.100272,0.124859,0.252568,-1.23720,1.60014,-9999,-9999,-9999,0.821174,-9999,2.65927,2.23155,2.99873,2.53068,2.32320,4.50341,5.44626,-9999,-9999,-9999,2.50938,-9999
LostCreek_ts_data_2020_07_08_0800.dat,2020-07-08,08:30,190.3541,17997,-0.759731E-01,0.512593,0.824654E-02,289.579,22.6672,671.451,0.103647,-9999,-9999,-9999,288.306,-9999,257.494,0.655346E-01,0.543928E-01,0.661517E-03,0.732144E-01,0.964765,1760.77,0.220555E-04,-9999,-9999,-9999,0.412037E-01,-9999,0.219515E-01,0.301618E-02,-0.163279E-01,0.154428,-2.62769,0.466619E-03,-9999,0.290670E-02,-0.182382E-01,0.801900E-01,0.789227,-0.112026E-03,-9999,-0.142942E-02,0.102802E-01,-0.196273E-01,0.715050E-05,-9999,-9999,-9999,-0.152514E-02,-9999,0.255997,0.233223,0.257200E-01,0.270582,0.982225,41.9615,0.469633E-02,-9999,-9999,-9999,0.202987,-9999,0.279981,-0.546327,0.227307,-0.187313,0.588369,-1.98904,-0.355408,-9999,-9999,-9999,-0.863362,-9999,1.60016,2.73917,3.96978,2.31337,3.40810,6.29291,1.98872,-9999,-9999,-9999,2.97415,-9999
LostCreek_ts_data_2020_07_08_0830.dat,2020-07-08,09:00,190.3749,17997,0.406339,-0.515867E-01,0.350476E-01,289.339,18.7589,476.833,0.104603,-9999,-9999,-9999,287.890,-9999,334.381,0.183670,0.266145,0.305899E-02,0.157684,52.8198,88030.0,0.186406E-04,-9999,-9999,-9999,0.600493E-01,-9999,-0.193735,0.159867E-01,0.634005E-01,-2.53307,-101.615,-0.279851E-03,-9999,-0.190266E-01,-0.827643E-01,2.41078,88.8424,0.489144E-03,-9999,0.622497E-02,-0.233167,-9.32644,-0.275489E-04,-9999,-9999,-9999,0.491213E-02,-9999,0.428567,0.515893,0.553082E-01,0.397094,7.26772,296.699,0.431747E-02,-9999,-9999,-9999,0.245050,-9999,0.605003,-0.327859,0.180930,0.653609,-1.36249,-1.40139,0.655370,-9999,-9999,-9999,0.852135,-9999,2.08670,1.62885,3.55686,2.66144,3.47462,3.34915,2.33460,-9999,-9999,-9999,2.88158,-9999
LostCreek_ts_data_2020_07_08_0900.dat,2020-07-08,09:30,190.3957,18000,0.510352,-0.440551,0.455200E-01,289.709,13.1608,1853.09,-0.849444E-01,-9999,-9999,-9999,288.086,-9999,28.7965,0.884880E-01,0.306045,0.270214E-02,0.576582,30.8472,0.408664E+07,0.440668E-01,-9999,-9999,-9999,0.272249,-9999,-0.282341E-02,0.341918E-02,-0.129936,0.147363,-391.486,0.411824E-01,-9999,-0.355618E-02,-0.204243,1.85500,481.364,-0.323894E-01,-9999,-0.143330E-02,-0.177291E-01,-19.8740,0.173586E-02,-9999,-9999,-9999,-0.714170E-03,-9999,0.297469,0.553214,0.519821E-01,0.759330,5.55402,2021.54,0.209921,-9999,-9999,-9999,0.521774,-9999,0.313999,0.352682,0.615021,0.398154,-0.399641,0.371668,-0.225188,-9999,-9999,-9999,0.567234,-9999,2.25338,1.62234,8.87845,1.93416,2.60807,1.39686,1.13601,-9999,-9999,-9999,2.15926,-9999
LostCreek_ts_data_2020_07_08_0930.dat,2020-07-08,10:00,190.4165,18000,0.661169,-0.999151E-01,0.416738E-01,288.954,18.2042,76.2036,0.117603,-9999,-9999,-9999,287.522,-9999,9.12913,0.358393E-01,0.240382E-01,0.873186E-03,0.859786E-01,1.06532,8330.58,0.768239E-05,-9999,-9999,-9999,0.239524E-01,-9999,0.536068E-03,0.153386E-02,-0.483905E-02,0.103985,7.84250,-0.118290E-03,-9999,0.644153E-03,-0.328461E-02,-0.139153E-01,-7.39144,0.687242E-04,-9999,0.103826E-03,0.557745E-02,0.636414E-01,-0.809618E-05,-9999,-9999,-9999,-0.499625E-03,-9999,0.189313,0.155043,0.295497E-01,0.293221,1.03214,91.2720,0.277171E-02,-9999,-9999,-9999,0.154766,-9999,0.652232,1.13856,-0.121425,0.264552,0.427674,-0.796146,-0.570214,-9999,-9999,-9999,-0.613928,-9999,2.78092,5.29510,4.37228,2.90378,6.06348,2.65486,5.14415,-9999,-9999,-9999,3.48676,-9999
LostCreek_ts_data_2020_07_08_1000.dat,2020-07-08,10:30,190.4374,18000,0.587723,-0.888111E-03,0.356719E-01,289.092,25.3953,174.069,0.957438E-01,-9999,-9999,-9999,287.675,-9999,359.190,0.620245E-01,0.722515E-01,0.140828E-02,0.213734,7.06343,7419.73,0.117713E-02,-9999,-9999,-9999,0.103103,-9999,-0.223671E-01,0.605131E-02,-0.311808E-01,-0.129644,-4.80163,0.174031E-02,-9999,-0.244883E-02,-0.370229E-01,-0.289802,-6.80513,-0.517740E-03,-9999,-0.460985E-02,-0.184861E-01,-0.527428,0.298368E-03,-9999,-9999,-9999,-0.208071E-02,-9999,0.249047,0.268796,0.375271E-01,0.462313,2.65771,86.1379,0.343094E-01,-9999,-9999,-9999,0.321096,-9999,-0.275554,0.825258E-01,-0.753493E-01,-0.190066,0.259459,-0.755005,-2.53856,-9999,-9999,-9999,-0.181986,-9999,2.27465,1.90190,3.28594,2.57859,2.74724,4.25230,8.60508,-9999,-9999,-9999,2.15323,-9999
LostCreek_ts_data_2020_07_08_1030.dat,2020-07-08,11:00,190.4582,17995,0.676186E-01,0.161148,0.448119E-02,289.483,28.9179,420.511,-0.644179E-02,-9999,-9999,-9999,288.523,-9999,306.485,0.409100E-01,0.871019E-01,0.515622E-03,0.124229,20.0356,36825.8,0.736370E-02,-9999,-9999,-9999,0.679457E-01,-9999,-0.355323E-02,0.193272E-02,0.191670E-01,0.733670,14.2878,-0.129092E-01,-9999,0.156912E-02,-0.664569E-01,-0.589614,-1.53974,0.866812E-02,-9999,-0.499071E-03,0.249199E-01,1.33308,-0.400236E-03,-9999,-9999,-9999,-0.117429E-02,-9999,0.202262,0.295130,0.227073E-01,0.352461,4.47611,191.901,0.858120E-01,-9999,-9999,-9999,0.260664,-9999,-0.271780,-0.634805,-0.860228E-01,0.944085,-0.957197,-1.11919,0.119678,-9999,-9999,-9999,0.574681E-01,-9999,2.18451,2.40307,4.16610,3.84954,2.16378,4.43611,1.61486,-9999,-9999,-9999,1.77785,-9999
LostCreek_ts_data_2020_07_08_1100.dat,2020-07-08,11:30,190.4790,18000,-0.112497,0.701079,-0.109882E-02,289.198,22.3299,516.512,0.111341,-9999,-9999,-9999,288.995,-9999,260.547,0.293347E-01,0.793856E-01,0.154503E-02,0.127055,3.56955,92758.5,0.262659E-04,-9999,-9999,-9999,0.276201,-9999,-0.899747E-02,-0.454895E-03,-0.669667E-02,0.139168,24.9021,0.441927E-03,-9999,0.309340E-02,0.186311E-01,-0.141760,-15.1237,0.137080E-03,-9999,-0.136825E-02,0.221907E-02,-0.867817,0.124929E-04,-9999,-9999,-9999,-0.283777E-02,-9999,0.171274,0.281754,0.393069E-01,0.356448,1.88933,304.563,0.512503E-02,-9999,-9999,-9999,0.525548,-9999,0.315912,-0.207578,-0.285015,0.248164,0.135721,-1.36132,-1.09220,-9999,-9999,-9999,0.737787,-9999,2.58337,1.89361,4.27669,2.21474,2.08332,3.26589,5.24725,-9999,-9999,-9999,2.28092,-9999
LostCreek_ts_data_2020_07_08_1130.dat,2020-07-08,12:00,190.4999,18000,0.737736,0.782632,0.427151E-01,291.809,19.5322,777.811,-0.302958,-9999,-9999,-9999,290.955,-9999,314.389,0.148189,0.192880,0.238701E-01,1.14087,2.64199,6350.19,0.421870E-01,-9999,-9999,-9999,1.15526,-9999,0.217225E-01,0.339430E-02,0.275334,-0.400458,11.5157,-0.332593E-01,-9999,-0.635004E-02,0.162406,-0.326474,3.33319,0.297944E-01,-9999,0.116204E-01,-0.181058E-01,-0.407955,-0.549912E-02,-9999,-9999,-9999,0.187799E-01,-9999,0.384954,0.439181,0.154500,1.06812,1.62542,79.6881,0.205395,-9999,-9999,-9999,1.07483,-9999,0.128847,-0.538686E-01,0.167849,-0.421256,0.440967,-1.21118,1.23996,-9999,-9999,-9999,0.662917,-9999,2.60523,2.76959,5.53495,2.25139,2.45234,3.94601,2.96549,-9999,-9999,-9999,2.71069,-9999
LostCreek_ts_data_2020_07_08_1200.dat,2020-07-08,12:30,190.5207,17929,0.680468,0.644469,0.863199E-02,294.312,17.0568,896.066,-0.158599,-9999,-9999,-9999,294.547,-9999,320.121,0.857815E-01,0.232187,0.558284E-01,0.171130,0.767508E-01,134.592,0.612945E-02,-9999,-9999,-9999,0.423889,-9999,0.632031E-02,-0.147170E-01,0.248600E-01,-0.251806E-01,-0.426821E-01,0.629812E-02,-9999,-0.255413E-01,-0.121931,0.677182E-01,-3.57714,-0.146104E-01,-9999,0.160748E-02,0.964879E-02,0.647107,-0.873946E-03,-9999,-9999,-9999,-0.704902E-02,-9999,0.292885,0.481857,0.236280,0.413678,0.277039,11.6014,0.782908E-01,-9999,-9999,-9999,0.651067,-9999,-0.169180,0.927265,0.139220E-01,-0.382316,0.421295,-0.334048,1.63635,-9999,-9999,-9999,-0.313038,-9999,3.03070,4.07678,2.97017,2.25001,2.32495,2.97469,5.62742,-9999,-9999,-9999,2.77988,-9999
LostCreek_ts_data_2020_07_08_1230.dat,2020-07-08,13:00,190.5415,18000,0.828031,0.244777,0.120222,295.745,16.1801,913.762,0.861728E-01,-9999,-9999,-9999,296.029,-9999,344.549,0.216314,0.217071,0.707760E-01,0.250609,0.879675E-01,216.294,0.443458E-05,-9999,-9999,-9999,0.319858E-01,-9999,0.730227E-02,-0.378023E-01,-0.867060E-01,0.360850E-01,-3.34106,0.123669E-03,-9999,-0.221239E-01,-0.914962E-01,0.588746E-01,-0.618602,0.340782E-03,-9999,0.562900E-01,-0.198548E-01,2.05571,-0.655092E-04,-9999,-9999,-9999,0.704871E-02,-9999,0.465095,0.465909,0.266038,0.500609,0.296593,14.7069,0.210584E-02,-9999,-9999,-9999,0.178846,-9999,0.629573E-01,-0.745552E-01,-0.377524E-02,0.101135,-0.133707,0.140002,0.207464,-9999,-9999,-9999,-0.568386,-9999,3.03415,2.47975,3.18346,2.17340,1.73373,2.26450,1.73292,-9999,-9999,-9999,3.05327,-9999
LostCreek_ts_data_2020_07_08_1300.dat,2020-07-08,13:30,190.5624,17987,0.926914,0.760293,0.652162E-01,296.589,15.6143,902.121,0.829939E-01,-9999,-9999,-9999,296.778,-9999,327.961,0.210524,0.639412,0.912329E-01,0.160836,0.197789E-01,356.860,0.744329E-06,-9999,-9999,-9999,0.211996,-9999,0.917922E-01,-0.436178E-01,-0.141037E-01,-0.704368E-02,-3.31872,-0.115807E-03,-9999,-0.571770E-01,0.757733E-01,-0.356871E-01,-0.783795,-0.213120E-03,-9999,0.516142E-01,-0.124821E-01,2.96480,-0.463489E-05,-9999,-9999,-9999,-0.679498E-02,-9999,0.458829,0.799633,0.302048,0.401044,0.140637,18.8907,0.862745E-03,-9999,-9999,-9999,0.460430,-9999,-0.362438E-01,0.232943,0.320388,1.14362,-0.794425,0.246436,-0.172971,-9999,-9999,-9999,0.133501,-9999,3.46866,2.29008,3.17156,4.34871,3.02977,2.42998,2.86198,-9999,-9999,-9999,2.25645,-9999
