first_statistics:_on_raw_data
filename,date,time,DOY,n_samples,mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p)
LostCreek_ts_data_2020_07_04_2000.dat,2020-07-04,20:30,186.8540,17996,95.5784,0.838784E-02,-0.260792,2.82159,95.8145,0.690514E-02,-0.639918,2.56859
LostCreek_ts_data_2020_07_04_2030.dat,2020-07-04,21:00,186.8748,17996,95.5525,0.129875E-01,0.248148,3.26573,95.7893,0.100813E-01,-0.411354,1.94534
LostCreek_ts_data_2020_07_04_2100.dat,2020-07-04,21:30,186.8956,18000,95.5376,0.110277E-01,0.174181,2.31269,95.7574,0.127256E-01,-0.530314E-01,2.05710
LostCreek_ts_data_2020_07_04_2130.dat,2020-07-04,22:00,186.9165,17996,95.4956,0.155227E-01,0.675152,2.42628,95.7340,0.505118E-02,0.246019,1.50092
LostCreek_ts_data_2020_07_04_2200.dat,2020-07-04,22:30,186.9373,17992,95.4809,0.139929E-01,0.348564,2.19397,95.7227,0.860784E-02,0.113524,2.27596
LostCreek_ts_data_2020_07_04_2230.dat,2020-07-04,23:00,186.9581,18000,95.4566,0.265331E-01,-1.45208,4.75409,95.7093,0.736675E-02,0.955367E-01,1.86518
LostCreek_ts_data_2020_07_04_2300.dat,2020-07-04,23:30,186.9790,17988,95.4613,0.105556E-01,0.153548,1.90573,95.6914,0.553168E-02,0.514338E-01,3.04980
LostCreek_ts_data_2020_07_04_2330.dat,2020-07-05,00:00,187.0000,18000,95.4439,0.616174E-02,0.743795,3.28605,95.6817,0.387869E-02,1.48856,4.17846
LostCreek_ts_data_2020_07_05_0000.dat,2020-07-05,00:30,187.0208,17991,95.4463,0.529918E-02,-0.680829E-01,2.02531,95.6836,0.491356E-02,0.447638,1.53742
LostCreek_ts_data_2020_07_05_0030.dat,2020-07-05,01:00,187.0416,18000,95.4451,0.537779E-02,0.331490,1.91038,95.6843,0.503029E-02,0.213961,1.27796
LostCreek_ts_data_2020_07_05_0100.dat,2020-07-05,01:30,187.0624,18000,95.4552,0.544072E-02,0.326478,1.97014,95.6937,0.484491E-02,0.511952,1.31841
LostCreek_ts_data_2020_07_05_0130.dat,2020-07-05,02:00,187.0833,17995,95.4742,0.757484E-02,0.849723,3.09521,95.7110,0.721491E-02,0.814115,4.08057
LostCreek_ts_data_2020_07_05_0200.dat,2020-07-05,02:30,187.1041,17992,95.5092,0.795419E-02,-0.277210,2.60901,95.7453,0.776683E-02,-0.277849,2.66546
LostCreek_ts_data_2020_07_05_0230.dat,2020-07-05,03:00,187.1249,18000,95.5322,0.914576E-02,-0.191584E-01,1.88177,95.7683,0.788746E-02,0.183063,1.89636
LostCreek_ts_data_2020_07_05_0300.dat,2020-07-05,03:30,187.1458,17988,95.5400,0.668967E-02,0.369139E-02,2.24878,95.7731,0.475412E-02,0.650632,1.91788
LostCreek_ts_data_2020_07_05_0330.dat,2020-07-05,04:00,187.1666,18000,95.5380,0.484315E-02,-0.458414,3.25655,95.7722,0.490262E-02,0.423951,3.00872
LostCreek_ts_data_2020_07_05_0400.dat,2020-07-05,04:30,187.1874,17996,95.5375,0.519489E-02,-0.592418,3.41066,95.7720,0.627637E-02,-0.187473,2.41004
LostCreek_ts_data_2020_07_05_0430.dat,2020-07-05,05:00,187.2083,18000,95.5153,0.564184E-02,0.310243,2.25295,95.7503,0.587060E-02,0.502776E-01,3.06880
LostCreek_ts_data_2020_07_05_0500.dat,2020-07-05,05:30,187.2291,17985,95.5148,0.508426E-02,0.211128E-01,1.24780,95.7492,0.444613E-02,-0.385435,4.72259
LostCreek_ts_data_2020_07_05_0530.dat,2020-07-05,06:00,187.2499,18000,95.5124,0.451752E-02,0.861109,2.71128,95.7480,0.404371E-02,-1.50453,3.71087
LostCreek_ts_data_2020_07_05_0600.dat,2020-07-05,06:30,187.2707,18000,95.4959,0.997330E-02,0.114167,1.99075,95.7291,0.104494E-01,0.207011,2.09215
LostCreek_ts_data_2020_07_05_0630.dat,2020-07-05,07:00,187.2916,17997,95.4650,0.986479E-02,-0.729320E-01,1.97596,95.6998,0.853017E-02,0.310070E-01,1.39609
LostCreek_ts_data_2020_07_05_0700.dat,2020-07-05,07:30,187.3124,18000,95.4418,0.386546E-02,1.73912,4.29692,95.6767,0.577213E-02,0.193295,2.33115
LostCreek_ts_data_2020_07_05_0730.dat,2020-07-05,08:00,187.3332,17999,95.4263,0.116200E-01,-0.928878E-01,1.56001,95.6605,0.123487E-01,0.168728,1.96645
LostCreek_ts_data_2020_07_05_0800.dat,2020-07-05,08:30,187.3541,18000,95.4274,0.744234E-02,-0.166709,2.73221,95.6606,0.639400E-02,-0.621483E-01,2.47526
LostCreek_ts_data_2020_07_05_0830.dat,2020-07-05,09:00,187.3749,17994,95.4162,0.618420E-02,0.473447,2.34956,95.6511,0.548019E-02,0.459488E-01,3.22592
LostCreek_ts_data_2020_07_05_0900.dat,2020-07-05,09:30,187.3957,18000,95.4462,0.110880E-01,-0.117113,1.81374,95.6805,0.128444E-01,-0.236415,1.80628
