file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_p_mean,air_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--
LostCreek_ts_data_2020_07_04_2000.dat,2020-07-04,20:30,186.8540,1,17996,17996,-0.314111E-01,0,6.91649,0,207.429,0,-7.47747,0,4.74240,0,0.217076E+07,0,-9999,-9999,-9999,-9999,-9999,726.588,35.0204,3.76553,14.6499,802.284,831.090,0.00000,0,706.102,38.6688,40.2242,0.00000,0,0.759230E-01,-41574.1,-43066.9,0.00000,0,302.857,303.897,46136.3,0.521168,1027.20,0.547637E-01,0.307307,0.127240E-01,1784.51,4415.77,0.244143E-01,40.4123,2631.25,288.869,-0.844807E-01,-2.46826,0.495967E-01,-0.844807E-01,-2.46826,0.495967E-01,2.47020,4.75661,91.9608,-9999,-9999,-9999,0.245501,0.491496,-107.960,-0.885511E-01,0.333439E-01,-0.526258E-01,0,89.1094,-13.5227,30.5884,76.1694,116.163,162.920,244.084,-0.309874E-01,1.01367,19.6060,1.01065,191.513,1.03436,-11.5103,1.03436,4.37851,1.03436,-0.618116E-02,1.05834,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,4,2,0,9,4,3,0,0.370539,0.481186,0.131267,0.100423,0.740705E-02,1547.61,0.625737E-06,0.366231E-01,-0.115103E-01,4.37851,-0.618116E-05,95.5784,95.8144
LostCreek_ts_data_2020_07_04_2030.dat,2020-07-04,21:00,186.8748,1,17996,17996,-0.307652E-01,1,7.18128,0,238.810,0,-7.94363,0,5.46113,0,0.245362E+07,1,0.720114,-2.81343,0.365806,-0.643380E-01,23.0940,1474.49,69.5877,7.56719,14.6955,805.895,834.150,0.00000,0,693.546,38.0337,39.5374,0.00000,0,0.754184E-01,-41354.9,-42804.9,0.00000,0,303.077,304.139,46109.3,0.520574,1026.85,0.548395E-01,0.353881,0.124977E-01,1754.18,4477.23,0.240075E-01,39.1800,2723.05,288.602,0.234079,-1.97089,0.100336,0.234079,-1.97089,0.100336,1.98727,5.09870,79.2046,-9999,-9999,-9999,0.243102,1.27987,-100.909,-0.947392E-01,0.300712E-01,-0.552617E-01,0,87.3878,-13.2614,29.9974,74.6977,113.919,159.773,239.369,-0.302675E-01,1.01644,21.8005,1.01226,220.764,1.03452,-12.5610,1.03452,5.04847,1.03452,-0.250931E-02,1.05920,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,4,0,0,20,15,13,0,1.36653,1.05805,0.135148,0.725478E-01,0.666308E-02,1200.71,0.461431E-06,0.407828E-01,-0.125610E-01,5.04847,-0.250931E-05,95.5525,95.7893
LostCreek_ts_data_2020_07_04_2100.dat,2020-07-04,21:30,186.8956,1,18000,18000,0.525790E-02,1,8.63521,1,241.295,1,-8.17866,1,5.52418,1,0.254465E+07,1,3.40917,2.66499,0.269890,0.610122E-01,-8.63044,567.505,27.1190,2.90861,14.6785,808.571,835.653,0.00000,0,701.434,38.6386,40.1916,0.00000,0,0.752313E-01,-41437.2,-42825.1,0.00000,0,303.314,305.292,46077.7,0.518132,1027.22,0.550852E-01,0.357967,0.126398E-01,1780.86,4779.75,0.243950E-01,37.2583,2998.90,288.837,-0.253063,-0.797478,0.386622E-01,-0.253063,-0.797478,0.386622E-01,0.837560,3.67810,116.319,-9999,-9999,-9999,0.100736,0.733985,-5.96890,-1.60163,0.357870E-01,-0.161058,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.508256E-02,1.03450,23.1903,1.02368,220.677,1.04379,-12.8630,1.04379,5.05217,1.04379,-0.204228E-01,1.07079,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,2,0,0,16,7,11,0,0.595705,0.782496,0.897689E-01,0.833831E-01,0.575230E-02,1357.67,0.411978E-06,0.435714E-01,-0.128630E-01,5.05217,-0.204228E-04,95.5376,95.7574
LostCreek_ts_data_2020_07_04_2130.dat,2020-07-04,22:00,186.9165,1,17996,17996,-0.248852E-01,0,14.2147,0,252.902,0,-8.24867,0,5.78980,0,0.290555E+07,1,-0.579492E-01,6.64165,-0.471105,0.152050,-22.5082,1898.88,94.8310,9.83957,14.5872,803.897,833.352,0.00000,0,728.493,40.1469,41.8261,0.00000,0,0.755877E-01,-41651.9,-43178.0,0.00000,0,303.679,305.273,46054.3,0.517603,1028.08,0.551096E-01,0.375179,0.131274E-01,1849.44,4774.47,0.253620E-01,38.7360,2925.03,289.429,0.362681,-1.06103,0.130174,0.362681,-1.06103,0.130174,1.12884,4.70323,73.9336,-9999,-9999,-9999,0.219267,0.871850,-37.3889,-0.255691,0.562066E-01,-0.121827,0,85.5942,-12.9893,29.3817,73.1647,111.581,156.494,234.456,-0.242368E-01,1.02675,29.5054,1.01869,230.941,1.03906,-13.6473,1.03906,5.28704,1.03906,-0.186473E-01,1.06530,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,5,1,13,8,8,0,0.700721,0.927182,0.115796,0.127066,0.735543E-02,1232.85,0.228870E-06,0.554469E-01,-0.136473E-01,5.28704,-0.186473E-04,95.4956,95.7340
LostCreek_ts_data_2020_07_04_2200.dat,2020-07-04,22:30,186.9373,1,17992,17992,-0.218811E-01,0,18.4632,0,-9999,-9999,-12.8836,0,-9999,-9999,858871.,0,-1.54316,-4606.14,-0.356823,-105.397,6.43498,591.332,30.4332,3.07315,14.5438,800.363,800.363,0.00000,0,748.506,41.1911,42.9607,-9999,0,0.755842E-01,-41590.6,-41590.6,0.00000,0,303.504,304.751,46041.3,0.518134,1028.66,0.550310E-01,-9999,0.134881E-01,1897.00,4635.72,0.260320E-01,40.9213,2738.72,289.828,-0.848202,-1.46744,0.406586E-01,-0.848202,-1.46744,0.406586E-01,1.69543,4.41677,124.075,-9999,-9999,-9999,0.205501,0.883184,-23.6964,-0.403437,-9999,-0.168569,0,77.7864,-11.8044,26.7016,66.4907,101.402,142.218,213.069,-0.214764E-01,1.01884,18.2135,1.01371,-9999,-9999,-14.0424,1.03521,-9999,-9999,0.382696E-02,1.06036,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,3,1,0,35,14,19,1,0.698128,0.939051,0.129190,0.572762E-01,0.926425E-02,-9999,0.163973E-06,0.341726E-01,-0.140424E-01,-9999,0.382696E-05,95.4809,95.7227
LostCreek_ts_data_2020_07_04_2230.dat,2020-07-04,23:00,186.9581,1,18000,18000,0.145964,1,69.0373,1,-9999,-9999,-21.6436,1,-9999,-9999,0.323105E+07,2,-7.72340,-22705.6,2.14515,-518.236,7.52091,-1654.85,-93.2405,-8.36527,15.0502,821.438,821.438,0.00000,0,847.988,46.2829,48.5290,-9999,0,0.760790E-01,-41519.6,-41519.6,0.00000,0,301.554,302.167,46028.3,0.521397,1031.52,0.545797E-01,-9999,0.152807E-01,2130.90,3998.11,0.293073E-01,53.2977,1867.21,291.671,-2.71704,0.702372E-01,-0.109955,-2.71704,0.702372E-01,-0.109955,2.72017,7.81649,178.570,-9999,-9999,-9999,0.529101,1.79591,-108.230,-0.883302E-01,-9999,-0.242604,0,141.328,-21.4471,48.5133,120.805,184.235,258.392,387.119,0.144145,1.01262,68.3483,1.01008,-9999,-9999,-27.0995,1.03460,-9999,-9999,-0.119437E-01,1.05824,800000009,800000009,800000009,800000009,800000019,800110019,899999999,899999999,89999,89999,89,89,7,17,4,2,12,5,0,1.47946,1.91989,0.192472,1.58504,0.371749,-9999,0.445708E-05,0.127081,-0.270995E-01,-9999,-0.119437E-04,95.4566,95.7094
LostCreek_ts_data_2020_07_04_2300.dat,2020-07-04,23:30,186.9790,1,17988,17988,0.274015E-01,0,5.65939,0,-9999,-9999,-5.77515,0,-9999,-9999,274217.,0,-1.93582,-16423.2,-3.27976,-374.610,-153.749,-531.006,-33.6102,-2.89118,14.4860,789.272,789.272,0.00000,0,916.897,49.9572,52.5842,-9999,0,0.788725E-01,-42969.4,-42969.4,0.00000,0,301.304,301.520,46009.7,0.521564,1033.64,0.544850E-01,-9999,0.165225E-01,2299.13,3851.14,0.316787E-01,59.7000,1552.01,292.890,-1.33678,-0.532559E-02,-0.366564E-01,-1.33678,-0.532559E-02,-0.366564E-01,1.33729,4.60106,177.808,-9999,-9999,-9999,0.229210,0.301401,-107.373,-0.890355E-01,-9999,-0.457994E-01,0,118.968,-18.0538,40.8377,101.692,155.086,217.511,325.870,0.267821E-01,1.02312,5.56818,1.01638,-9999,-9999,-6.05487,1.03710,-9999,-9999,0.285185E-01,1.06289,800000009,800000009,800000009,800000009,800000009,801100009,899999999,899999999,89999,89999,89,89,9,12,1,0,3,1,0,0.298423,0.248821,0.555590E-01,0.656465E-01,0.564042E-02,-9999,0.150212E-05,0.103285E-01,-0.605487E-02,-9999,0.285185E-04,95.4614,95.6914
LostCreek_ts_data_2020_07_04_2330.dat,2020-07-05,00:00,187.0000,1,18000,18000,0.148234E-01,0,6.99432,1,-9999,-9999,-2.71376,0,-9999,-9999,348391.,0,-2.11973,-15664.8,-0.136803,-357.066,-119.245,-818.671,-55.5373,-4.58162,14.4919,787.933,787.933,0.00000,0,983.107,53.4520,56.4705,-9999,0,0.811027E-01,-44091.6,-44091.6,0.00000,0,300.865,300.814,45998.7,0.521959,1035.66,0.543705E-01,-9999,0.177156E-01,2459.38,3696.04,0.339406E-01,66.5410,1236.66,293.980,-1.21472,-0.809717E-01,-0.564915E-01,-1.21472,-0.809717E-01,-0.564915E-01,1.21872,3.36823,177.208,-9999,-9999,-9999,0.168522,0.200088,-34.5444,-0.276745,-9999,-0.767776E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.144612E-01,1.02505,6.87334,1.01760,-9999,-9999,-3.21458,1.03811,-9999,-9999,0.326660E-01,1.06415,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,11,30,2,1,12,0,0,0.243588,0.117531,0.390571E-01,0.124405,0.222425E-02,-9999,0.227533E-05,0.127149E-01,-0.321458E-02,-9999,0.326660E-04,95.4439,95.6816
LostCreek_ts_data_2020_07_05_0000.dat,2020-07-05,00:30,187.0208,1,17991,17991,0.440197E-02,1,2.46156,1,-9999,-9999,-0.971113,1,-9999,-9999,131174.,2,-0.322125,-11057.3,-0.279258,-252.016,-296.289,-350.598,-24.9676,-2.09337,14.4484,785.201,785.201,0.00000,0,1028.93,55.9175,59.2295,-9999,0,0.862691E-01,-46878.4,-46878.4,0.00000,0,300.813,300.707,46003.7,0.521705,1037.11,0.543452E-01,-9999,0.185414E-01,2573.10,3672.97,0.355399E-01,70.0550,1099.87,294.717,-0.674482,0.987171E-01,-0.242656E-01,-0.674482,0.987171E-01,-0.242656E-01,0.682099,1.49700,187.598,-9999,-9999,-9999,0.918567E-01,0.455796E-01,-15.9039,-0.601112,-9999,-0.495281E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.422873E-02,1.04097,2.39473,1.02791,-9999,-9999,-1.13518,1.04804,-9999,-9999,-0.645137E-01,1.07559,800000009,800000009,800000009,800000009,800000009,800110009,899999999,899999999,89999,89999,89,89,17,28,6,11,23,3,0,0.461769E-01,0.366207E-01,0.836151E-02,0.225155E-01,0.958045E-03,-9999,0.141646E-04,0.442597E-02,-0.113518E-02,-9999,-0.645137E-04,95.4463,95.6835
