date,time,DOY,Ta_1_1_1,RH_1_1_1,LWout_1_1_1,LWin_1_1_1,SWout_1_1_1,SWin_1_1_1,PPFD_1_1_1,Ts_1_1_1,Pa_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[K],[Pa]
2020-07-11,18:30,193.7707,296.604,47.7583,-0.865667,-100.308,140.388,880.721,1635.47,282.153,45654.3
2020-07-11,19:00,193.7915,296.888,45.9867,-3.18200,-103.713,137.959,860.561,1601.53,282.160,45653.3
2020-07-11,19:30,193.8123,297.035,46.2587,-2.17700,-97.2493,133.080,812.739,1512.25,282.160,45677.3
2020-07-11,20:00,193.8332,297.220,46.8633,-0.894667,-104.127,152.400,921.297,1710.57,282.170,45677.7
2020-07-11,20:30,193.8540,297.103,46.9063,-3.55067,-109.943,132.454,799.110,1488.37,282.170,45652.3
2020-07-11,21:00,193.8748,297.162,44.6503,-2.70900,-108.536,133.201,775.379,1437.03,282.173,45646.0
2020-07-11,21:30,193.8956,297.317,42.9370,-3.87067,-112.763,122.956,697.730,1291.73,282.179,45621.7
2020-07-11,22:00,193.9165,297.122,44.0857,-5.25633,-109.505,113.486,624.290,1153.20,282.180,45598.7
2020-07-11,22:30,193.9373,296.932,45.2010,-5.61767,-101.115,95.4603,505.066,908.493,282.187,45597.3
2020-07-11,23:00,193.9581,296.477,46.9883,-7.52967,-98.4600,69.8507,358.454,663.927,282.190,45611.3
2020-07-11,23:30,193.9790,296.165,47.0790,-9.26333,-81.6023,36.8410,200.462,381.540,282.190,45607.3
2020-07-12,00:00,194.0000,295.757,49.0487,-6.62267,-71.3447,42.3180,203.895,368.787,282.190,45604.0
2020-07-12,00:30,194.0208,295.820,48.1600,-11.4400,-80.9400,21.5100,121.030,240.400,282.190,45610.0
2020-07-12,01:00,194.0416,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,01:30,194.0624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,02:00,194.0833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,02:30,194.1041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,03:00,194.1249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,03:30,194.1458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,04:00,194.1666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,04:30,194.1874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,05:00,194.2083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,05:30,194.2291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,06:00,194.2499,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,06:30,194.2707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,07:00,194.2916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,07:30,194.3124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,08:00,194.3332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,08:30,194.3541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,09:00,194.3749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,09:30,194.3957,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,10:00,194.4165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
